Numéro d'Étudiant,promotion,nom,prenom,date_naissance,email,telephone,adresse
2012000001,L2,Nom1,Prenom1,22/08/1983,prenom1.nom1@example.com,1050853967,Adresse1
2012000002,L1,Nom2,Prenom2,15/06/1998,prenom2.nom2@example.com,1292148613,Adresse2
2012000003,M1,Nom3,Prenom3,01/08/2005,prenom3.nom3@example.com,1606835293,Adresse3
2012000004,M0,Nom4,Prenom4,23/05/2001,prenom4.nom4@example.com,1193256960,Adresse4
2012000005,M1,Nom5,Prenom5,09/06/2003,prenom5.nom5@example.com,1730856112,Adresse5
2012000006,M1,Nom6,Prenom6,10/07/1984,prenom6.nom6@example.com,1705995264,Adresse6
2012000007,M1,Nom7,Prenom7,16/04/1997,prenom7.nom7@example.com,1543341375,Adresse7
2012000008,M1,Nom8,Prenom8,22/05/1995,prenom8.nom8@example.com,1532352074,Adresse8
2012000009,L1,Nom9,Prenom9,17/03/2002,prenom9.nom9@example.com,1025198902,Adresse9
2012000010,L0,Nom10,Prenom10,02/09/1982,prenom10.nom10@example.com,1757912850,Adresse10
2012000011,L2,Nom11,Prenom11,07/04/1996,prenom11.nom11@example.com,1312141079,Adresse11
2012000012,M0,Nom12,Prenom12,22/01/1986,prenom12.nom12@example.com,1052246437,Adresse12
2012000013,M1,Nom13,Prenom13,25/12/1994,prenom13.nom13@example.com,1262363479,Adresse13
2012000014,L1,Nom14,Prenom14,16/07/1993,prenom14.nom14@example.com,1743160353,Adresse14
2012000015,L0,Nom15,Prenom15,15/03/1990,prenom15.nom15@example.com,1566875285,Adresse15
2012000016,L1,Nom16,Prenom16,01/05/1995,prenom16.nom16@example.com,1728716798,Adresse16
2012000017,L2,Nom17,Prenom17,20/03/1992,prenom17.nom17@example.com,1649096098,Adresse17
2012000018,L2,Nom18,Prenom18,15/11/1987,prenom18.nom18@example.com,1058654934,Adresse18
2012000019,L1,Nom19,Prenom19,22/06/1989,prenom19.nom19@example.com,1664418786,Adresse19
2012000020,L1,Nom20,Prenom20,02/04/1999,prenom20.nom20@example.com,1367915670,Adresse20
2012000021,L2,Nom21,Prenom21,16/09/1992,prenom21.nom21@example.com,1330578661,Adresse21
2012000022,L1,Nom22,Prenom22,02/04/1997,prenom22.nom22@example.com,1025107940,Adresse22
2012000023,M1,Nom23,Prenom23,13/11/1988,prenom23.nom23@example.com,1595034774,Adresse23
2012000024,L2,Nom24,Prenom24,07/11/1984,prenom24.nom24@example.com,1217459674,Adresse24
2012000025,L0,Nom25,Prenom25,12/08/1988,prenom25.nom25@example.com,1696447781,Adresse25
2012000026,L1,Nom26,Prenom26,12/01/1990,prenom26.nom26@example.com,1315152064,Adresse26
2012000027,L0,Nom27,Prenom27,25/07/2001,prenom27.nom27@example.com,1194156753,Adresse27
